Name;Latitude;Longitude;Address;Rating;Reviews;Ratings Total;Postal Code;Street Number;Route;Locality;Admin Area Level 1;Admin Area Level 2;Country;Phone Number;Website;Opening Hours
Eneco Charging Station;52.51675119999999;6.088945799999999;N/A;0;[];0;8021 ET;1;Govert Flinckstraat;Zwolle;Overijssel;Zwolle;Netherlands;N/A;https://www.eneco-emobility.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.5088735;6.0846424;N/A;0;[];0;8011 AC;1;Willemskade;Zwolle;Overijssel;Zwolle;Netherlands;088 010 9500;https://www.shell.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.508107;6.0806349;N/A;0;[];0;8019 AV;1;Kamperweg;Zwolle;Overijssel;Zwolle;Netherlands;088 010 9500;https://www.shell.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.5114446;6.0980175;N/A;0;[];0;8011 SH;18;Ter Pelkwijkpark;Zwolle;Overijssel;Zwolle;Netherlands;088 775 5444;https://evbox.com;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.50620439999999;6.0829746;N/A;0;[];0;3115 HC;21;Havenstraat;Schiedam;Overijssel;Zwolle;Netherlands;088 775 5444;https://evbox.com;N/A
NewMotion Charging Station;52.514002;6.097588000000001;N/A;0;[];0;8011 VG;41;Pletterstraat;Zwolle;Overijssel;Zwolle;Netherlands;088 010 9500;https://newmotion.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVnetNL Charging Station;52.514304;6.0904775;N/A;0;[];0;8011 MJ;N/A;Rodetorenplein;Zwolle;Overijssel;Zwolle;Netherlands;0800 3522365;https://www.evnet.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVnetNL Charging Station;52.50388;6.088434899999999;N/A;0;[];0;8017 JJ;238;Hanzelaan;Zwolle;Overijssel;Zwolle;Netherlands;N/A;https://www.evnet.nl/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.51681180000001;6.0975586;N/A;0;[];0;8021 DA;25;Burgemeester Drijbersingel;Zwolle;Overijssel;Zwolle;Netherlands;088 775 5450;https://evbox.com;N/A
GreenFlux Charging Station;52.5045264;6.0840572;N/A;0;[];0;8017 JW;40;Noordzeelaan;Zwolle;Overijssel;Zwolle;Netherlands;N/A;https://www.joulz.nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.5068505;6.0969881;N/A;0;[];0;8012 TD;48-96;Van der Laenstraat;Zwolle;Overijssel;Zwolle;Netherlands;0800 3745337;https://www.allego.eu/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Alfen Charging Station;52.5161051;6.0955325;N/A;0;[];0;8011 XT;2;Assiesstraat;Zwolle;Overijssel;Zwolle;Netherlands;036 549 3400;https://alfen.com/en/ev-charge-points;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
EVBox Charging Station;52.5065265;6.0831071;N/A;0;[];0;8025 BK;95;Hanzelaan;Zwolle;Overijssel;Zwolle;Netherlands;088 775 5444;https://evbox.com;N/A
EVBox Charging Station;52.5096577;6.0842893;N/A;0;[];0;8011 AG;12;Emmastraat;Zwolle;Overijssel;Zwolle;Netherlands;088 775 5444;https://evbox.com/nl-nl/;N/A
Allego Charging Station;52.50805039999999;6.0883823;N/A;0;[];0;8011 CK;N/A;Parkweg;Zwolle;Overijssel;Zwolle;Netherlands;088 033 3033;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
LastMileSolutions Charging Station;52.5084999;6.101305;N/A;0;[];0;8012 EG;1;Assendorperdijk;Zwolle;Overijssel;Zwolle;Netherlands;010 436 5065;http://www.lastmilesolutions.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.5109986;6.088226199999999;N/A;1;[];1;8011 LB;39;Eekwal;Zwolle;Overijssel;Zwolle;Netherlands;0800 3745337;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Allego Charging Station;52.5159187;6.091735;N/A;0;[];0;8021 DB;40;Schuttevaerkade;Zwolle;Overijssel;Zwolle;Netherlands;088 033 3033;https://www.allego.eu/nl-nl;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Alfen Charging Station;52.5086046;6.094095100000001;N/A;0;[];0;8011 EA;N/A;Burgemeester van Roijensingel;Zwolle;Overijssel;Zwolle;Netherlands;036 549 3400;https://alfen.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
Shell Recharge Charging Station;52.517698;6.085596;N/A;0;[];0;8021 EV;13A;Burgemeester Roelenweg;Zwolle;Overijssel;Zwolle;Netherlands;088 010 9500;https://shellrecharge.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']
