Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
0;GM000C;NL00;;Nederland                               ;None
1;R00003;NL00;;Land      ;None
2;R00004;NL00;;NL00      ;None
3;T001036;NL00;17590672;;None
4;3000;NL00;8745468;;None
5;4000;NL00;8845204;;None
6;10680;NL00;2712461;;None
7;53050;NL00;2158241;;None
8;53310;NL00;4399003;;None
9;53715;NL00;4795514;;None
10;80200;NL00;3525453;;None
11;1010;NL00;8674526;;None
12;1020;NL00;6667185;;None
13;1080;NL00;1386143;;None
14;1050;NL00;862818;;None
15;2012655;NL00;1909408;;None
16;2012657_2;NL00;2529492;;None
17;H008673;NL00;419272;;None
18;H007119;NL00;176912;;None
19;H008751;NL00;359814;;None
20;H008766;NL00;429978;;None
21;A008187;NL00;1143516;;None
22;1050010_2;NL00;8138591;;None
23;1050015;NL00;3172564;;None
24;1016040;NL00;2349821;;None
25;1016030;NL00;2616206;;None
26;M000114;NL00;2,1;;None
27;M000100;NL00;523;;None
28;M000297;NL00;8045580;;None
29;M001642;NL00;317;;None
30;ZW10290;NL00;64;;None
31;ZW10340;NL00;36;;None
32;A028725;NL00;96;;None
33;A028726;NL00;4;;None
34;1014800_1;NL00;57;;None
35;1014850_2;NL00;43;;None
36;A047047;NL00;29;;None
37;A047048;NL00;14;;None
38;A047051;NL00;0;;None
39;ZW25808;NL00;82;;None
40;ZW25807;NL00;18;;None
41;M000200_2;NL00;2275240;;None
42;301000;NL00;79965;;None
43;300003;NL00;316395;;None
44;300005;NL00;391415;;None
45;383105;NL00;172250;;None
46;300009;NL00;184765;;None
47;300010;NL00;519465;;None
48;300012;NL00;362260;;None
49;300014;NL00;248725;;None
50;A018943_2;NL00;8827710;;None
51;A019276;NL00;7023175;;None
52;D001045;NL00;1804535;;None
53;M000368;NL00;1,1;;None
54;A018943_4;NL00;262;;None
55;A018944;NL00;677785;;None
56;T001455_2;NL00;4154337;;None
57;A047044;NL00;3364723;;None
58;A047040;NL00;789614;;None
59;ST0001;NL00;2;;None
60;ST0003;NL00;2039;;None
61;GM000C;GM1680;;Aa en Hunze                             ;None
62;R00003;GM1680;;Gemeente  ;None
