name,latitude,longitude,postal_code,city,country
,50.8656408,5.8161752,6301 GL,Valkenburg,Nederland
Hutweg,50.7741203,5.7221565,6245 JD,Eijsden,Nederland
,50.8959400,5.7509100,6235 NJ,Bunde,Nederland
,50.8608641,5.7647645,6325 PG,Berg en Terblijt,Nederland
,50.8312678,5.6516447,6213 JL,Maastricht,Nederland
,50.8471849,5.6687243,6216 EG,Maastricht,Nederland
P1,50.8374605,5.7136085,6229 GV,Maastricht,Nederland
,50.8458121,5.6590548,6216 EC,Maastricht,Nederland
,50.8423011,5.7411855,6227 AE,Maastricht,Nederland
,50.8160926,5.7288551,6247 AH,Gronsveld,Nederland
,50.8905569,5.6724647,3620,Lanaken,België / Belgique / Belgien
,50.8424989,5.7285272,6227 CS,Maastricht,Nederland
,50.8431226,5.7289345,6227 CS,Maastricht,Nederland
,50.8427374,5.7288447,6227 CS,Maastricht,Nederland
,50.8343366,5.7547282,6267 AG,Cadier en Keer,Nederland
Plein 1992,50.8460480,5.7004300,6221 JP,Maastricht,Nederland
Bassin,50.8538715,5.6933343,6211 BG,Maastricht,Nederland
De Colonel,50.8478179,5.7063182,6221 BT,Maastricht,Nederland
,50.8534276,5.7246235,6226 VJ,Maastricht,Nederland
,50.8345286,5.7135304,6229 HX,Maastricht,Nederland
,50.8605690,5.8303501,6301 BP,Valkenburg,Nederland
,50.8337167,5.6947274,6212 AH,Maastricht,Nederland
SG Gerardusweg,50.8451981,5.7093801,6224 LE,Maastricht,Nederland
,50.8400805,5.7049441,6229 GA,Maastricht,Nederland
Mosae Forum,50.8516856,5.6939202,6211 JW,Maastricht,Nederland
,50.8225262,5.7070921,6229 WR,Maastricht,Nederland
,50.8697868,5.7067515,6222 BV,Maastricht,Nederland
Plein 1992,50.8459011,5.7006286,6221 JP,Maastricht,Nederland
,50.8209077,5.7006872,6212 NA,Maastricht,Nederland
,50.8106008,5.7175529,6247 BL,Rijckholt,Nederland
,50.8262128,5.7100800,6229 VN,Maastricht,Nederland
,50.8260640,5.7114981,6229 VN,Maastricht,Nederland
,50.8266248,5.7091512,6229 VR,Maastricht,Nederland
,50.8280649,5.7092183,6229 TE,Maastricht,Nederland
,50.8463399,5.6523261,6216 TT,Maastricht,Nederland
,50.8586222,5.7247062,6225 AB,Maastricht,Nederland
,50.8063505,5.7642476,6251 NB,Eckelrade,Nederland
,50.8064802,5.7681783,6251 ND,Eckelrade,Nederland
Maastricht UMC+,50.8336574,5.7137390,6229 HX,Maastricht,Nederland
P5,50.8397306,5.7104554,6229 GS,Maastricht,Nederland
Bollenpark,50.8477977,5.6820032,6211 NJ,Maastricht,Nederland
,50.8445151,5.6752066,6214 SV,Maastricht,Nederland
Parkeergarage de Leim,50.8427903,5.7292441,6227 CS,Maastricht,Nederland
