charger_longitude;charger_latitude;Rating;atm;bakery;bar;bicycle_parking;books;cafe;clothes;doctors;fast_food;hairdresser;parking;pharmacy;playground;pub;restaurant;school;sports_centre;supermarket
3.5060095;51.4923017;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5;0;0;1
3.5202118;51.4748088;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;1
3.522221;51.473461;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;2
3.5224496;51.470047;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;7;0;0;2
3.55138;51.4794999999999;4.5;0;1;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;2
3.5559576;51.4635289;4;1;1;0;1;0;0;0;1;1;2;1;1;1;0;2;0;1;2
3.555983;51.520892;5;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
3.55614;51.4764365;5;0;1;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;2
3.5646005;51.4463113;1;4;5;0;12;2;18;29;5;19;7;1;3;1;15;43;3;0;2
3.5669491;51.4531275999999;5;2;3;0;5;0;2;1;8;11;4;6;5;3;2;18;3;0;2
3.57322;51.440683;1;4;4;0;10;2;17;29;2;18;6;2;1;0;15;42;0;0;2
3.58248979999999;51.4418755;5;4;4;0;12;2;18;29;2;18;6;2;0;0;15;39;0;0;2
3.59071019999999;51.5490936;5;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1
3.5983805;51.4839741;4;1;0;0;3;0;0;0;0;1;0;0;0;2;0;1;0;0;3
3.601188;51.5549279;3;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
3.607906;51.4959527;1;3;9;2;24;5;13;59;9;13;4;4;1;3;2;32;0;0;5
3.6183342;51.496598;4;3;9;2;20;5;14;59;9;12;4;3;2;3;2;32;0;0;4
3.6232022;51.4971119999999;5;2;7;2;16;5;11;50;8;9;2;3;2;3;2;30;0;0;3
3.625895;51.4801049999999;5;0;2;0;0;0;1;0;1;2;1;0;1;1;0;2;0;0;2
3.6776495;51.4966464;1;1;2;0;4;0;0;0;1;2;0;0;1;0;0;0;0;1;1
3.866485;51.4919532;4;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0
3.875382;51.506797;4;1;2;0;1;0;2;1;1;2;0;3;1;0;2;12;2;0;5
3.8823682;51.4996752;5;7;2;2;2;6;7;45;2;9;7;4;1;0;10;36;2;0;8
3.88927;51.508318;4;7;3;3;5;6;5;45;3;9;7;4;1;1;10;37;2;0;8
3.8919415;51.4977909;4;7;4;2;6;7;7;46;4;10;8;5;2;1;10;38;4;0;9
3.895796;51.482619;5;0;1;0;0;0;0;0;2;6;0;0;0;0;0;1;1;0;0
3.897791;51.4981099;4;7;5;2;6;7;6;46;6;10;8;5;2;1;10;35;0;0;8
3.98591669999999;51.5112598;5;0;0;0;2;0;0;0;2;0;0;1;0;0;0;1;0;0;1
4.03855999999999;51.4451;4;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
4.047835;51.4948229;5;2;1;1;4;0;1;9;1;3;4;1;1;0;0;16;1;1;1
4.0492062;51.4912088;5;2;1;1;4;0;0;9;1;3;4;0;1;0;0;15;1;1;1
4.051902;51.481262;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1
4.0561585;51.4879032;5;2;1;1;0;0;0;8;0;2;4;0;0;0;0;14;1;0;1
4.20836299999999;51.971317;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
